25;25
4;5;5;9;7;2;2;2;3;3;1;8;1;5;6;9;10;10;10;9;7;10;4;4;0
7;9;8;10;2;6;7;5;2;1;6;5;7;9;3;8;9;10;9;7;3;10;2;6;9
3;8;7;8;3;0;3;1;1;4;4;6;5;4;10;5;5;5;7;0;7;8;5;3;1
1;8;8;2;1;0;2;9;1;2;2;1;5;2;1;6;5;8;7;5;3;5;9;4;8
2;3;1;4;0;9;0;5;7;7;9;6;1;1;4;10;3;5;2;5;5;5;7;9;3
2;9;5;0;9;7;3;4;7;5;3;0;6;9;3;3;9;7;1;9;6;0;7;4;8
5;9;4;0;6;6;5;1;9;9;2;0;0;5;5;6;6;8;7;9;7;1;3;5;3
7;4;10;5;1;6;7;2;8;4;10;6;1;3;9;10;6;3;6;3;5;8;1;6;3
3;3;10;5;4;7;0;0;10;3;10;10;9;2;3;8;1;9;1;3;2;1;2;9;7
4;3;0;8;8;5;7;6;0;10;9;8;10;9;8;6;3;4;4;10;4;1;0;1;4
0;8;2;8;6;2;4;5;6;0;2;0;1;0;3;10;6;7;10;6;5;9;8;1;9
2;3;4;6;6;1;7;2;6;7;2;8;8;7;3;7;4;9;7;8;2;3;0;6;8
2;8;8;7;6;9;3;8;9;1;7;2;0;4;3;5;3;0;3;6;2;1;3;7;4
0;8;6;7;2;4;4;1;8;8;0;5;7;8;5;0;1;1;1;10;7;2;8;10;0
6;10;9;7;0;4;5;8;10;8;5;4;8;6;4;1;8;3;3;4;4;5;4;1;3
8;0;5;4;3;3;7;6;9;9;5;1;7;1;1;2;3;0;1;9;8;4;5;6;7
8;9;4;4;10;1;3;0;7;5;9;3;0;4;8;8;8;5;9;8;5;4;6;3;3
3;3;5;9;5;8;9;5;4;1;4;6;6;10;5;2;2;2;7;2;10;0;0;3;9
1;10;7;3;7;4;6;7;10;9;7;2;8;0;1;7;6;0;0;3;9;10;8;0;3
3;1;9;7;2;3;3;8;7;2;4;4;8;5;7;8;8;4;4;1;3;1;10;1;2
4;2;3;3;10;9;4;3;9;0;9;5;4;7;2;3;5;2;8;0;7;4;1;5;0
8;7;3;2;5;1;7;8;1;9;4;3;10;4;3;2;8;0;6;5;10;10;6;2;2
10;0;8;6;4;6;1;1;2;10;6;9;1;2;7;9;6;5;0;8;6;3;10;4;9
0;7;8;1;8;0;5;5;1;9;2;6;10;4;4;5;7;7;7;4;2;4;8;0;1
0;3;4;5;0;10;2;4;9;8;3;2;2;5;9;1;1;0;2;8;2;1;8;10;4
